frame_position,frame_id,pred_x_head,pred_y_head,pred_x_tail,pred_y_tail,real_x_head,real_y_head,real_x_tail,real_y_tail,head_distance,tail_distance,nearest_head_idx,nearest_tail_idx
4778,0,92.43597412109376,115.76214599609376,100.14630126953124,117.13043212890624,95.79288025889969,113.915857605178,107.44336569579286,120.71197411003236,3.8311338424682617,8.128629684448242,127,0
4778,1,93.73876953125,103.225341796875,99.7059326171875,70.64617919921875,96.76375404530744,102.9126213592233,104.53074433656955,71.52103559870551,3.0411078929901123,4.903488636016846,127,0
4778,2,98.7418212890625,112.8721923828125,130.9970703125,114.5009765625,98.05825242718448,115.21035598705502,130.74433656957927,118.12297734627832,2.4360389709472656,3.630808353424072,127,0
4779,0,91.933837890625,116.270751953125,100.77557373046876,117.60772705078124,98.38187702265373,114.88673139158576,107.76699029126212,121.03559870550164,6.594897747039795,7.786540508270264,127,0
4779,1,94.3629150390625,102.1318359375,101.59002685546876,70.25775146484375,97.73462783171522,102.2653721682848,105.8252427184466,70.87378640776699,3.3743550777435303,4.279782772064209,127,0
4779,2,99.6937255859375,113.468017578125,131.170654296875,115.04034423828124,98.05825242718448,116.50485436893204,130.0970873786408,118.12297734627832,3.449223756790161,3.264225482940674,127,0
4780,0,93.87310791015624,116.58331298828124,101.50341796875,117.12225341796876,99.02912621359224,114.88673139158576,108.0906148867314,120.06472491909386,5.427977085113525,7.214520454406738,127,0
4780,1,95.32208251953124,103.20941162109376,101.217529296875,70.75732421875,95.79288025889969,102.9126213592233,106.4724919093851,70.87378640776699,0.5565362572669983,5.25624942779541,127,0
4780,2,98.7530517578125,114.89129638671876,130.9149169921875,115.63739013671876,98.05825242718448,116.8284789644013,129.7734627831715,118.44660194174756,2.058012008666992,3.032255887985229,127,0
4781,0,93.6033935546875,116.97979736328124,101.92779541015624,116.99267578125,97.73462783171522,115.85760517799352,109.70873786407766,121.03559870550164,4.280934810638428,8.768598556518555,127,0
4781,1,94.94549560546876,102.72515869140624,101.61651611328124,70.7164306640625,97.0873786407767,101.29449838187703,107.11974110032362,70.55016181229773,2.575745820999145,5.505738258361816,127,0
4781,2,98.095703125,115.21917724609376,129.7572021484375,115.39056396484376,97.0873786407767,117.79935275080906,128.4789644012945,119.0938511326861,2.770204305648804,3.917681455612183,127,0
4782,0,91.817138671875,117.11688232421876,103.7757568359375,118.0733642578125,97.41100323624596,115.53398058252426,109.06148867313917,120.3883495145631,5.813509464263916,5.770450115203857,127,0
4782,1,92.96063232421876,101.753662109375,103.60296630859376,71.04620361328125,96.11650485436894,101.29449838187703,107.44336569579286,70.87378640776699,3.1891047954559326,3.844269037246704,127,0
4782,2,100.08251953125,115.30572509765624,130.1904296875,116.4161376953125,97.73462783171522,117.79935275080906,129.12621359223303,119.7411003236246,3.4250237941741943,3.4911234378814697,127,0
4783,0,91.75921630859376,117.28619384765624,104.42022705078124,119.1728515625,95.79288025889969,114.88673139158576,111.00323624595472,120.71197411003236,4.693381309509277,6.7605390548706055,127,0
4783,1,92.84503173828124,101.92291259765624,104.22662353515624,71.12701416015625,96.44012944983818,101.61812297734627,111.32686084142397,71.19741100323624,3.607996940612793,7.100584030151367,127,0
4783,2,100.053955078125,115.73846435546876,130.1998291015625,117.830078125,97.41100323624596,117.79935275080906,129.12621359223303,120.3883495145631,3.351486921310425,2.774418354034424,127,0
4784,0,89.86187744140625,116.668701171875,106.234130859375,120.42877197265624,96.11650485436894,115.85760517799352,110.03236245954692,121.68284789644012,6.307003021240234,3.999909400939941,127,0
4784,1,90.58050537109376,101.36288452148438,105.98077392578124,71.48361206054688,95.79288025889969,103.5598705501618,110.67961165048546,71.84466019417476,5.656461238861084,4.7126874923706055,127,0
4784,2,100.8182373046875,114.83758544921876,129.781494140625,118.86102294921876,97.41100323624596,118.77022653721684,129.12621359223303,120.06472491909386,5.203354835510254,1.370506763458252,127,0
4785,0,89.3106689453125,117.182373046875,106.4669189453125,120.3380126953125,95.79288025889969,116.1812297734628,111.32686084142397,120.3883495145631,6.55906343460083,4.86020040512085,127,0
4785,1,90.1322021484375,100.70846557617188,106.43585205078124,71.69699096679688,95.79288025889969,103.88349514563106,110.67961165048544,71.84466019417476,6.490303039550781,4.24632740020752,127,0
4785,2,101.3048095703125,115.50250244140624,129.3590087890625,118.8626708984375,97.08737864077672,118.12297734627832,128.15533980582526,121.03559870550164,4.965240001678467,2.484038591384888,127,0
4786,0,88.93145751953125,117.79827880859376,107.37078857421876,120.29827880859376,94.49838187702264,117.15210355987055,111.97411003236247,121.35922330097088,5.6043009757995605,4.724002361297607,127,0
4786,1,89.49578857421875,99.57742309570312,107.31048583984376,72.52719116210938,96.44012944983818,104.20711974110031,111.32686084142397,72.168284789644,8.346138954162598,4.032377243041992,127,0
4786,2,102.7037353515625,116.36199951171876,128.71630859375,118.98748779296876,96.11650485436894,119.0938511326861,127.50809061488673,122.33009708737865,7.131238460540772,3.554266452789306,127,0
4787,0,88.1461181640625,119.25262451171876,108.52752685546876,121.9310302734375,94.8220064724919,117.79935275080906,114.23948220064726,122.33009708737865,6.832237720489502,5.725875377655029,127,0
4787,1,88.67578125,97.59414672851562,108.61480712890624,71.28689575195312,95.46925566343042,103.88349514563106,113.2686084142395,71.84466019417476,9.257814407348633,4.687106132507324,127,0
